Time,X,Y,Z,DCH01-01,DCH01-02,DCH01-03,DCH01-04,DCH01-05,DCH01-06,DCH01-07,DCH01-08,DCH02-01,DCH02-02,DCH02-03,DCH02-04,DCH02-05,DCH02-06,DCH02-07,DCH02-08,DCH03-01,DCH03-02,DCH03-03,DCH03-04,DCH03-05,DCH03-06,DCH03-07,DCH03-08,DCH04-01,DCH04-02,DCH04-03,DCH04-04,DCH04-05,DCH04-06,DCH04-07,DCH04-08,DCH05-01,DCH05-02,DCH05-03,DCH05-04,DCH05-05,DCH05-06,DCH05-07,DCH05-08,DCH06-01,DCH06-02,DCH06-03,DCH06-04,DCH06-05,DCH06-06,DCH06-07,DCH06-08,DCH07-01,DCH07-02,DCH07-03,DCH07-04
0:00:04,-0.078,-0.02,0.018,21,21.18,21.06,21.62,21.56,21.43,21.18,21.12,21.25,21.31,21.18,21.43,21.31,21.43,21.31,21.31,21,21.12,20.93,21.25,21.31,21.06,20.93,21.06,21.18,20.93,20.5,21,21.18,21.18,21,21.31,21.18,21,21,21.18,21.12,20.93,21.06,21.18,20.93,20.87,20.93,20.81,21.12,21.06,21.12,21.06,21.12,21.43,21.25,21.12
0:00:34,-0.078,-0.021,0.019,21,21.18,21.06,21.62,21.56,21.43,21.18,21.06,21.18,21.31,21.18,21.43,21.31,21.43,21.31,21.31,21,21.18,20.93,21.25,21.31,21.06,20.93,21.06,21.18,21,20.43,21,21.18,21.12,21,21.31,21.18,21,21,21.18,21.12,20.93,21.06,21.18,20.93,20.87,20.93,20.75,21.12,21.06,21.12,21.06,21.12,21.37,21.25,21.12
0:01:04,-0.077,-0.02,0.02,21,21.18,21.06,21.62,21.56,21.43,21.18,21.06,21.18,21.31,21.12,21.43,21.31,21.43,21.31,21.31,21,21.18,20.93,21.18,21.31,21.06,20.93,21.06,21.18,20.93,20.43,21,21.18,21.12,21,21.31,21.18,21,21,21.18,21.12,20.93,21.06,21.18,20.93,20.87,20.93,20.81,21.12,21.06,21.12,21.06,21.12,21.37,21.25,21.12
0:01:34,-0.078,-0.02,0.017,21,21.18,21.06,21.62,21.56,21.43,21.12,21.06,21.18,21.31,21.18,21.43,21.31,21.43,21.31,21.31,21,21.12,20.93,21.25,21.31,21.06,20.93,21,21.18,20.93,20.43,21,21.18,21.12,21,21.31,21.18,21,21,21.18,21.12,20.93,21.06,21.18,20.93,20.87,20.93,20.81,21.12,21.06,21.12,21.06,21.12,21.37,21.25,21.12
0:02:04,-0.078,-0.021,0.019,21,21.18,21.06,21.62,21.56,21.43,21.12,21.12,21.18,21.31,21.12,21.43,21.31,21.43,21.31,21.31,21,21.18,20.93,21.25,21.31,21.06,20.93,21.06,21.18,20.93,20.43,21,21.18,21.12,21,21.31,21.18,21,21,21.18,21.12,20.93,21.06,21.18,20.93,20.93,20.93,20.81,21.12,21.06,21.12,21.06,21.12,21.37,21.25,21.12
0:02:34,-0.078,-0.021,0.02,21,21.18,21.06,21.62,21.56,21.43,21.18,21.12,21.18,21.31,21.18,21.43,21.31,21.43,21.31,21.31,21,21.18,20.93,21.25,21.31,21.06,20.93,21.06,21.18,20.93,20.43,21,21.18,21.12,21,21.31,21.18,21,21,21.18,21.12,20.93,21.06,21.18,20.93,20.87,20.93,20.75,21.12,21.06,21.12,21.06,21.12,21.43,21.25,21.12
0:03:04,-0.078,-0.02,0.022,21,21.18,21.06,21.62,21.56,21.43,21.12,21.06,21.18,21.31,21.12,21.43,21.31,21.43,21.31,21.37,21,21.12,20.93,21.25,21.31,21.06,20.93,21.06,21.18,20.93,20.43,21,21.25,21.12,21,21.31,21.18,21,21,21.18,21.12,20.93,21.06,21.18,20.93,20.87,20.93,20.81,21.12,21.06,21.12,21.06,21.06,21.37,21.25,21.12
0:03:34,-0.079,-0.021,0.018,21,21.18,21.06,21.62,21.56,21.43,21.18,21.06,21.18,21.31,21.18,21.43,21.31,21.43,21.31,21.31,21,21.18,21,21.25,21.31,21.06,21,21,21.18,20.93,20.43,21,21.18,21.12,21,21.31,21.18,21,21,21.18,21.12,20.93,21.06,21.18,20.93,20.87,20.93,20.75,21.12,21.06,21.12,21.06,21.12,21.43,21.25,21.12
0:04:04,-0.077,-0.021,0.02,21,21.18,21.06,21.62,21.56,21.43,21.12,21,21.18,21.25,21.12,21.43,21.31,21.43,21.31,21.31,21,21.18,20.93,21.25,21.31,21.06,20.93,21.06,21.18,20.93,20.43,21,21.18,21.12,21,21.31,21.18,21,20.93,21.18,21.12,20.93,21.06,21.18,20.93,20.87,20.93,20.75,21.12,21.06,21.12,21.06,21.12,21.43,21.25,21.12
0:04:34,-0.077,-0.02,0.02,21,21.18,21,21.62,21.56,21.43,21.18,21,21.18,21.25,21.18,21.43,21.31,21.43,21.31,21.31,21,21.12,21,21.18,21.31,21.06,21,21,21.18,20.93,20.43,21,21.18,21.12,21,21.31,21.18,21,21,21.18,21.12,20.87,21.06,21.18,20.93,20.87,20.93,20.75,21.12,21.06,21.12,21.06,21.12,21.43,21.25,21.12
0:05:04,-0.077,-0.02,0.018,21,21.18,21,21.62,21.56,21.43,21.12,21,21.18,21.25,21.12,21.43,21.31,21.43,21.31,21.31,21,21.18,20.93,21.25,21.31,21.06,20.93,21.06,21.18,20.93,20.43,21,21.18,21.12,21,21.31,21.18,21,20.93,21.18,21.12,20.93,21.06,21.18,20.93,20.87,20.93,20.81,21.12,21.06,21.12,21.06,21.12,21.43,21.25,21.12
0:05:34,-0.077,-0.021,0.02,21,21.18,21.06,21.62,21.56,21.43,21.12,21.12,21.18,21.25,21.18,21.43,21.31,21.43,21.31,21.31,21,21.18,20.93,21.25,21.31,21.06,20.93,21,21.18,20.93,20.5,21,21.18,21.12,21,21.31,21.18,20.93,21,21.18,21.12,20.87,21.06,21.18,20.93,20.87,20.93,20.81,21.12,21.06,21.12,21.06,21.12,21.43,21.25,21.12
0:06:04,-0.077,-0.021,0.02,21,21.18,21.06,21.62,21.56,21.43,21.18,21.06,21.18,21.31,21.18,21.43,21.31,21.43,21.31,21.31,21,21.18,20.93,21.25,21.31,21.06,20.93,21,21.18,20.93,20.5,21,21.18,21.12,21,21.31,21.18,21,21,21.18,21.12,20.87,21.06,21.18,20.93,20.87,20.93,20.75,21.12,21.06,21.12,21.06,21.12,21.43,21.25,21.12
