Time,X,Y,Z,DCH01-01,DCH01-02,DCH01-03,DCH01-04,DCH01-05,DCH01-06,DCH01-07,DCH01-08,DCH02-01,DCH02-02,DCH02-03,DCH02-04,DCH02-05,DCH02-06,DCH02-07,DCH02-08,DCH03-01,DCH03-02,DCH03-03,DCH03-04,DCH03-05,DCH03-06,DCH03-07,DCH03-08,DCH04-01,DCH04-02,DCH04-03,DCH04-04,DCH04-05,DCH04-06,DCH04-07,DCH04-08,DCH05-01,DCH05-02,DCH05-03,DCH05-04,DCH05-05,DCH05-06,DCH05-07,DCH05-08,DCH06-01,DCH06-02,DCH06-03,DCH06-04,DCH06-05,DCH06-06,DCH06-07,DCH06-08,DCH07-01,DCH07-02,DCH07-03,DCH07-04
0:00:11,-0.073,-0.011,0.013,12.37,12.56,12.31,12.93,13,12.87,12.81,12.81,12.62,12.68,12.56,12.93,12.75,12.93,12.93,13.12,12.37,12.5,12.31,12.62,12.75,12.62,12.62,12.81,12.68,12.43,12.12,12.5,12.75,12.81,12.75,13.18,12.56,12.43,12.43,12.62,12.75,12.56,12.81,13,12.5,12.37,12.18,12.18,12.68,12.68,12.87,12.81,12.5,12.81,12.62,12.56
0:00:41,-0.072,-0.01,0.014,12.37,12.56,12.31,12.93,13,12.93,12.81,12.81,12.68,12.68,12.56,12.93,12.75,12.93,12.93,13.12,12.37,12.5,12.37,12.62,12.75,12.62,12.62,12.81,12.68,12.43,12.12,12.5,12.75,12.81,12.68,13.18,12.56,12.43,12.43,12.62,12.75,12.56,12.81,13,12.5,12.37,12.18,12.18,12.68,12.68,12.87,12.81,12.5,12.81,12.62,12.56
0:01:11,-0.072,-0.009,0.014,12.37,12.56,12.31,12.93,13,12.93,12.75,12.81,12.68,12.68,12.56,12.93,12.75,12.93,12.93,13.12,12.37,12.5,12.31,12.62,12.75,12.62,12.62,12.81,12.68,12.43,12.12,12.5,12.75,12.81,12.68,13.18,12.56,12.43,12.43,12.62,12.75,12.56,12.81,13,12.5,12.37,12.18,12.18,12.68,12.68,12.87,12.81,12.5,12.81,12.62,12.56
0:01:41,-0.072,-0.01,0.014,12.37,12.56,12.31,12.93,13,12.87,12.68,12.81,12.68,12.68,12.56,12.93,12.75,12.93,12.93,13.12,12.37,12.5,12.31,12.62,12.75,12.62,12.62,12.81,12.68,12.43,12.12,12.5,12.75,12.81,12.68,13.18,12.56,12.43,12.43,12.68,12.75,12.56,12.81,13,12.5,12.37,12.18,12.18,12.68,12.68,12.81,12.81,12.5,12.81,12.62,12.56
0:02:11,-0.072,-0.009,0.013,12.37,12.56,12.31,12.93,13,12.93,12.68,12.81,12.68,12.68,12.56,12.93,12.75,12.93,12.93,13.12,12.37,12.5,12.37,12.62,12.75,12.62,12.56,12.81,12.68,12.43,12.12,12.5,12.75,12.81,12.68,13.12,12.56,12.43,12.43,12.62,12.75,12.56,12.81,13,12.5,12.37,12.18,12.18,12.68,12.68,12.87,12.81,12.5,12.81,12.62,12.56
0:02:41,-0.072,-0.009,0.011,12.37,12.56,12.31,12.93,13,12.87,12.68,12.81,12.68,12.68,12.56,12.93,12.75,12.93,12.93,13.12,12.37,12.5,12.31,12.62,12.75,12.62,12.56,12.81,12.68,12.43,12.12,12.5,12.75,12.81,12.68,13.18,12.62,12.43,12.43,12.62,12.75,12.56,12.81,13,12.5,12.37,12.18,12.18,12.68,12.68,12.87,12.81,12.5,12.81,12.62,12.56
0:03:11,-0.073,-0.01,0.013,12.37,12.56,12.31,12.93,13,12.87,12.75,12.81,12.62,12.62,12.56,12.93,12.75,12.93,12.93,13.12,12.37,12.5,12.31,12.62,12.75,12.62,12.56,12.81,12.68,12.43,12.12,12.5,12.75,12.81,12.68,13.18,12.56,12.5,12.43,12.62,12.75,12.56,12.81,13,12.5,12.37,12.18,12.18,12.68,12.68,12.87,12.81,12.5,12.81,12.62,12.56
0:03:41,-0.073,-0.01,0.014,12.37,12.56,12.31,12.93,13,12.87,12.81,12.81,12.62,12.68,12.56,12.93,12.75,12.93,12.93,13.12,12.37,12.5,12.31,12.62,12.75,12.62,12.56,12.81,12.68,12.43,12.12,12.5,12.75,12.81,12.68,13.18,12.56,12.43,12.43,12.62,12.75,12.56,12.81,13,12.5,12.37,12.18,12.18,12.68,12.68,12.87,12.81,12.5,12.81,12.62,12.5
0:04:11,-0.072,-0.01,0.013,12.37,12.56,12.31,12.93,13,12.87,12.75,12.81,12.62,12.68,12.56,12.93,12.75,12.93,12.93,13.12,12.37,12.5,12.31,12.62,12.75,12.62,12.56,12.75,12.68,12.43,12.12,12.5,12.75,12.81,12.68,13.18,12.56,12.43,12.43,12.62,12.75,12.56,12.81,13,12.5,12.37,12.18,12.18,12.68,12.68,12.81,12.81,12.5,12.81,12.62,12.56
0:04:41,-0.073,-0.011,0.013,12.37,12.56,12.31,12.93,13,12.87,12.75,12.81,12.68,12.68,12.56,12.93,12.75,12.93,12.93,13.12,12.37,12.5,12.31,12.62,12.75,12.62,12.56,12.81,12.62,12.43,12.12,12.5,12.75,12.81,12.68,13.18,12.56,12.43,12.43,12.62,12.75,12.56,12.81,13,12.5,12.37,12.18,12.18,12.68,12.68,12.87,12.81,12.5,12.81,12.62,12.56
0:05:11,-0.072,-0.01,0.013,12.37,12.56,12.31,12.93,13,12.87,12.68,12.81,12.62,12.62,12.56,12.93,12.75,12.93,12.93,13.12,12.37,12.5,12.31,12.62,12.75,12.62,12.56,12.75,12.68,12.43,12.12,12.5,12.75,12.81,12.68,13.18,12.56,12.43,12.43,12.62,12.75,12.56,12.81,13,12.5,12.37,12.18,12.18,12.68,12.68,12.81,12.81,12.5,12.81,12.62,12.56
