Time,X,Y,Z,DCH01-01,DCH01-02,DCH01-03,DCH01-04,DCH01-05,DCH01-06,DCH01-07,DCH01-08,DCH02-01,DCH02-02,DCH02-03,DCH02-04,DCH02-05,DCH02-06,DCH02-07,DCH02-08,DCH03-01,DCH03-02,DCH03-03,DCH03-04,DCH03-05,DCH03-06,DCH03-07,DCH03-08,DCH04-01,DCH04-02,DCH04-03,DCH04-04,DCH04-05,DCH04-06,DCH04-07,DCH04-08,DCH05-01,DCH05-02,DCH05-03,DCH05-04,DCH05-05,DCH05-06,DCH05-07,DCH05-08,DCH06-01,DCH06-02,DCH06-03,DCH06-04,DCH06-05,DCH06-06,DCH06-07,DCH06-08,DCH07-01,DCH07-02,DCH07-03,DCH07-04
15:58:34,-10.326,7.269,-2.053,27.75,27.87,27.81,27.93,28.06,28.43,28.68,28.75,28.31,28.56,28.12,28,28,28.31,28.81,29,28,27.81,28.12,28.06,28,28.31,28.62,29,28,27.5,28.06,27.87,28.18,28.5,28.56,29.06,27.75,27.93,28.37,28.12,28.12,28.31,28.87,29.06,28.18,27.5,27.93,27.75,28.06,28.06,28.75,28.93,27.5,28.56,27.93,27.81
15:59:04,-10.326,7.269,-2.052,27.75,27.87,27.75,27.93,28.06,28.43,28.62,28.75,28.31,28.5,28.12,28,28,28.31,28.81,28.93,28,27.81,28.12,28.06,28,28.25,28.62,28.93,28,27.5,28.06,27.87,28.18,28.5,28.5,29.06,27.75,27.93,28.37,28.06,28.12,28.31,28.87,29.06,28.18,27.5,27.93,27.81,28.12,28.06,28.75,28.93,27.5,28.5,27.93,27.81
15:59:34,-10.325,7.269,-2.052,27.75,27.81,27.75,27.93,28.06,28.43,28.62,28.75,28.31,28.5,28.06,28,28,28.31,28.81,28.93,28,27.81,28.06,28,28,28.25,28.62,28.93,28,27.56,28.06,27.87,28.18,28.5,28.5,29.06,27.75,27.93,28.37,28.06,28.12,28.31,28.87,29.06,28.18,27.5,27.93,27.81,28.06,28.06,28.75,28.93,27.43,28.5,27.93,27.81
16:00:04,-10.327,7.268,-2.053,27.75,27.81,27.75,27.93,28.06,28.43,28.62,28.75,28.31,28.43,28.06,28,28,28.31,28.81,28.93,27.93,27.81,28.06,28,28,28.31,28.62,28.93,28,27.56,28.06,27.87,28.18,28.5,28.5,29.06,27.75,27.87,28.37,28.12,28.12,28.31,28.87,29.06,28.18,27.5,28,27.75,28.06,28.06,28.75,28.93,27.43,28.5,27.87,27.81
16:00:34,-10.327,7.27,-2.052,27.68,27.81,27.75,27.93,28.06,28.43,28.62,28.75,28.25,28.43,28.06,28,28,28.31,28.81,28.93,27.93,27.75,28.06,28,28,28.25,28.62,28.93,28,27.56,28.06,27.87,28.18,28.5,28.5,29.06,27.75,27.87,28.37,28.06,28.12,28.31,28.81,29.06,28.18,27.5,27.93,27.81,28.06,28.06,28.75,28.93,27.5,28.5,27.93,27.81
16:01:04,-10.326,7.269,-2.053,27.68,27.81,27.68,28,28.06,28.43,28.62,28.75,28.25,28.37,28,28,28,28.31,28.81,28.93,27.93,27.75,28,28,28,28.25,28.56,28.93,28,27.56,28.06,27.87,28.18,28.5,28.5,29.06,27.75,27.87,28.37,28.06,28.12,28.31,28.81,29,28.18,27.5,28,27.75,28.06,28.06,28.75,28.93,27.5,28.43,27.87,27.75
16:01:34,-10.328,7.269,-2.052,27.68,27.75,27.68,28,28.06,28.37,28.62,28.75,28.25,28.37,28,28,28,28.31,28.81,28.93,27.87,27.75,28,28,28,28.25,28.56,28.93,28,27.56,28.06,27.87,28.18,28.5,28.56,29.06,27.75,27.87,28.37,28.12,28.12,28.31,28.81,29.06,28.12,27.5,28,27.75,28.06,28.06,28.75,28.87,27.43,28.37,27.87,27.75
16:02:04,-10.327,7.269,-2.052,27.68,27.75,27.68,27.93,28.06,28.37,28.62,28.75,28.18,28.31,28,28,28,28.31,28.81,28.93,27.87,27.75,28,28,28,28.25,28.56,28.93,28,27.56,28,27.87,28.18,28.5,28.56,29.06,27.75,27.87,28.37,28.12,28.12,28.31,28.81,29.06,28.12,27.5,28,27.75,28.06,28.06,28.75,28.93,27.43,28.31,27.81,27.75
16:02:34,-10.329,7.269,-2.053,27.68,27.75,27.68,28,28.06,28.37,28.62,28.75,28.18,28.31,28,28,28,28.31,28.81,29,27.87,27.75,28,28,28,28.25,28.56,28.93,28,27.56,28,27.87,28.18,28.5,28.56,29.12,27.75,27.87,28.37,28.12,28.12,28.31,28.81,29.06,28.12,27.5,28,27.81,28.06,28.12,28.75,28.93,27.43,28.31,27.81,27.81
16:03:04,-10.327,7.268,-2.052,27.62,27.75,27.68,28,28.06,28.43,28.62,28.75,28.18,28.31,28,28,28,28.31,28.81,28.93,27.81,27.75,28,28,28,28.25,28.56,28.93,28,27.56,28.06,27.87,28.18,28.5,28.56,29.12,27.75,27.87,28.37,28.12,28.12,28.37,28.87,29.06,28.12,27.5,28,27.75,28.06,28.12,28.75,28.93,27.43,28.31,27.81,27.75
