Time,X,Y,Z,DCH01-01,DCH01-02,DCH01-03,DCH01-04,DCH01-05,DCH01-06,DCH01-07,DCH01-08,DCH02-01,DCH02-02,DCH02-03,DCH02-04,DCH02-05,DCH02-06,DCH02-07,DCH02-08,DCH03-01,DCH03-02,DCH03-03,DCH03-04,DCH03-05,DCH03-06,DCH03-07,DCH03-08,DCH04-01,DCH04-02,DCH04-03,DCH04-04,DCH04-05,DCH04-06,DCH04-07,DCH04-08,DCH05-01,DCH05-02,DCH05-03,DCH05-04,DCH05-05,DCH05-06,DCH05-07,DCH05-08,DCH06-01,DCH06-02,DCH06-03,DCH06-04,DCH06-05,DCH06-06,DCH06-07,DCH06-08,DCH07-01,DCH07-02,DCH07-03,DCH07-04
0:00:23,-0.073,-0.009,0.013,13,13.18,12.93,13.62,13.68,13.62,13.62,13.68,13.31,13.25,13.25,13.62,13.43,13.68,13.75,14,13.06,13.12,13,13.31,13.43,13.37,13.43,13.62,13.31,13.06,12.87,13.18,13.43,13.56,13.5,14,13.25,13.12,13.18,13.37,13.43,13.31,13.62,13.87,13.18,13,13,12.93,13.43,13.43,13.68,13.68,13.12,13.37,13.25,13.18
0:00:53,-0.073,-0.008,0.013,13,13.18,12.93,13.62,13.68,13.62,13.56,13.68,13.31,13.25,13.25,13.62,13.43,13.68,13.75,13.93,13.06,13.12,13,13.31,13.43,13.37,13.43,13.68,13.31,13.06,12.87,13.18,13.43,13.56,13.5,14,13.25,13.12,13.18,13.37,13.43,13.31,13.62,13.81,13.18,13,12.93,12.93,13.43,13.43,13.68,13.68,13.12,13.43,13.25,13.12
0:01:23,-0.073,-0.009,0.014,13,13.18,12.93,13.62,13.68,13.62,13.56,13.68,13.31,13.25,13.18,13.56,13.43,13.68,13.75,13.93,13.06,13.12,13,13.31,13.43,13.37,13.43,13.62,13.31,13.06,12.87,13.18,13.43,13.56,13.5,14,13.25,13.12,13.18,13.37,13.43,13.31,13.62,13.81,13.18,13,12.93,12.93,13.37,13.43,13.68,13.68,13.12,13.37,13.25,13.18
0:01:53,-0.073,-0.009,0.012,13,13.18,12.93,13.56,13.68,13.62,13.62,13.68,13.31,13.25,13.25,13.56,13.43,13.68,13.75,13.93,13,13.12,13,13.31,13.43,13.37,13.43,13.68,13.31,13.06,12.87,13.18,13.43,13.56,13.5,14,13.25,13.12,13.18,13.37,13.43,13.31,13.62,13.81,13.18,13,12.93,12.93,13.37,13.43,13.62,13.68,13.12,13.37,13.25,13.18
0:02:23,-0.072,-0.009,0.013,13,13.18,12.93,13.62,13.68,13.62,13.56,13.68,13.31,13.25,13.25,13.62,13.43,13.68,13.75,14,13,13.12,13,13.31,13.43,13.37,13.43,13.68,13.31,13.06,12.81,13.18,13.43,13.56,13.5,14,13.18,13.12,13.18,13.37,13.43,13.31,13.62,13.81,13.18,13,12.93,12.93,13.37,13.43,13.62,13.68,13.06,13.37,13.25,13.12
0:02:53,-0.073,-0.009,0.014,13,13.18,12.93,13.62,13.68,13.62,13.56,13.68,13.31,13.25,13.18,13.56,13.43,13.68,13.75,13.93,13,13.12,13,13.31,13.43,13.37,13.43,13.62,13.31,13.06,12.81,13.18,13.43,13.56,13.5,14,13.18,13.12,13.18,13.37,13.43,13.31,13.62,13.81,13.18,13,12.93,12.93,13.37,13.43,13.62,13.68,13.06,13.37,13.25,13.18
0:03:23,-0.073,-0.01,0.012,13,13.18,12.93,13.62,13.62,13.62,13.56,13.68,13.31,13.25,13.18,13.56,13.43,13.68,13.75,13.93,13,13.12,13,13.31,13.43,13.37,13.43,13.68,13.31,13.06,12.87,13.18,13.43,13.56,13.5,14,13.18,13.12,13.18,13.37,13.43,13.31,13.62,13.81,13.18,13,12.93,12.93,13.37,13.43,13.68,13.62,13.12,13.37,13.25,13.12
0:03:53,-0.074,-0.008,0.011,13,13.18,12.93,13.62,13.68,13.62,13.56,13.68,13.31,13.25,13.18,13.56,13.43,13.68,13.75,13.93,13,13.12,13,13.31,13.43,13.37,13.43,13.62,13.31,13.06,12.81,13.18,13.43,13.56,13.5,13.93,13.18,13.12,13.12,13.37,13.43,13.31,13.62,13.81,13.18,13,12.87,12.87,13.37,13.43,13.62,13.68,13.06,13.43,13.25,13.12
0:04:23,-0.073,-0.008,0.016,13,13.18,12.93,13.62,13.62,13.62,13.56,13.68,13.31,13.25,13.18,13.56,13.43,13.68,13.75,13.93,13,13.12,13,13.31,13.43,13.37,13.43,13.62,13.31,13.06,12.81,13.18,13.43,13.5,13.5,14,13.18,13.12,13.12,13.31,13.43,13.31,13.62,13.81,13.18,13,12.87,12.93,13.37,13.43,13.62,13.68,13.06,13.37,13.25,13.12
0:04:53,-0.073,-0.009,0.012,13,13.12,12.93,13.56,13.62,13.62,13.5,13.68,13.31,13.25,13.18,13.56,13.43,13.68,13.75,13.93,13,13.12,13,13.31,13.43,13.37,13.43,13.62,13.31,13.06,12.81,13.18,13.43,13.56,13.5,13.93,13.18,13.06,13.12,13.31,13.43,13.31,13.62,13.81,13.18,13,12.87,12.87,13.37,13.43,13.62,13.62,13.06,13.37,13.18,13.12
0:05:23,-0.074,-0.009,0.011,13,13.12,12.93,13.56,13.62,13.62,13.43,13.68,13.25,13.25,13.18,13.56,13.37,13.68,13.75,13.93,13,13.12,13,13.31,13.43,13.37,13.43,13.62,13.31,13.06,12.81,13.18,13.43,13.56,13.5,14,13.18,13.06,13.12,13.37,13.43,13.31,13.62,13.81,13.12,13,12.87,12.87,13.37,13.43,13.62,13.62,13.12,13.43,13.25,13.12
0:05:54,-0.074,-0.008,0.011,13,13.18,12.93,13.62,13.62,13.62,13.5,13.68,13.25,13.25,13.18,13.56,13.37,13.68,13.75,13.93,13,13.12,12.93,13.31,13.43,13.37,13.43,13.62,13.25,13.06,12.81,13.18,13.43,13.56,13.5,13.93,13.18,13.06,13.12,13.31,13.43,13.31,13.62,13.81,13.12,12.93,12.87,12.87,13.37,13.43,13.62,13.68,13.12,13.37,13.18,13.12
0:06:24,-0.074,-0.009,0.011,13,13.12,12.87,13.62,13.68,13.62,13.62,13.68,13.25,13.25,13.18,13.56,13.37,13.68,13.75,13.93,13,13.12,13,13.31,13.43,13.37,13.43,13.62,13.25,13,12.81,13.18,13.43,13.56,13.5,13.93,13.18,13.06,13.12,13.31,13.43,13.31,13.56,13.81,13.12,12.93,12.87,12.87,13.37,13.43,13.62,13.62,13.12,13.37,13.18,13.12
0:06:54,-0.074,-0.009,0.012,12.93,13.12,12.93,13.56,13.62,13.62,13.62,13.68,13.25,13.25,13.18,13.56,13.43,13.68,13.75,13.93,13,13.12,13,13.31,13.43,13.37,13.43,13.62,13.25,13,12.75,13.18,13.43,13.56,13.5,13.93,13.18,13.06,13.12,13.31,13.43,13.31,13.56,13.81,13.12,12.93,12.87,12.87,13.37,13.43,13.62,13.62,13.06,13.37,13.25,13.12
0:07:24,-0.073,-0.009,0.012,13,13.18,12.93,13.56,13.62,13.62,13.56,13.68,13.25,13.25,13.18,13.56,13.37,13.68,13.75,13.93,13,13.12,13,13.31,13.43,13.37,13.43,13.62,13.25,13,12.75,13.18,13.43,13.56,13.5,13.93,13.18,13.06,13.06,13.31,13.43,13.31,13.56,13.81,13.12,12.93,12.87,12.87,13.37,13.43,13.62,13.62,13.06,13.37,13.18,13.12
0:07:54,-0.074,-0.009,0.012,12.93,13.12,12.93,13.56,13.62,13.62,13.56,13.62,13.25,13.25,13.18,13.56,13.43,13.68,13.75,13.93,13,13.12,13,13.31,13.43,13.37,13.43,13.62,13.25,13,12.75,13.18,13.43,13.5,13.5,14,13.18,13.06,13.12,13.31,13.43,13.31,13.56,13.81,13.12,12.93,12.87,12.87,13.37,13.43,13.62,13.62,13.06,13.37,13.18,13.12
0:08:24,-0.074,-0.009,0.01,12.93,13.12,12.93,13.56,13.62,13.62,13.56,13.62,13.25,13.25,13.18,13.56,13.43,13.68,13.75,13.93,13,13.12,13,13.31,13.37,13.37,13.43,13.62,13.25,13,12.75,13.18,13.43,13.5,13.5,13.93,13.18,13.06,13.06,13.31,13.37,13.31,13.56,13.81,13.06,12.93,12.87,12.87,13.37,13.43,13.62,13.62,13.06,13.37,13.18,13.12
0:08:54,-0.074,-0.01,0.012,12.93,13.12,12.93,13.56,13.62,13.62,13.5,13.68,13.25,13.25,13.18,13.56,13.37,13.68,13.75,13.93,13,13.06,13,13.31,13.37,13.37,13.43,13.62,13.25,13,12.75,13.18,13.43,13.5,13.5,13.93,13.18,13.06,13.06,13.31,13.43,13.31,13.56,13.81,13.06,12.93,12.87,12.87,13.37,13.43,13.62,13.62,13.12,13.37,13.18,13.12
0:09:24,-0.074,-0.01,0.012,12.93,13.12,12.93,13.56,13.68,13.62,13.56,13.68,13.25,13.25,13.18,13.56,13.37,13.68,13.75,13.93,13,13.06,13,13.31,13.43,13.37,13.37,13.62,13.25,13,12.75,13.18,13.43,13.5,13.5,13.93,13.18,13.06,13.06,13.31,13.43,13.31,13.56,13.81,13.06,12.93,12.87,12.87,13.37,13.43,13.62,13.62,13.06,13.37,13.18,13.12
